,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
88,"['연간소득', '총상환원금', '총상환대출비율', '월별대출금액']",0.8595798889488916,0.835964110658802,0.8594797220512046,0.8355658004170656
62,"['총상환액', '총상환대출비율', '월별대출금액']",0.8546365914786967,0.8340533355487247,0.8547351959404019,0.8336908146987242
27,"['총상환대출비율', '월별대출금액']",0.8507318018803915,0.8333887181191326,0.8506279249848201,0.833110452029825
23,"['총상환이자', '총상환대출비율']",0.849624060150376,0.832101021849298,0.849972492332036,0.8319990807013266
5,['총상환대출비율'],0.8477685927525997,0.8319348674918999,0.847913853541904,0.8318590955560529
92,"['연간소득', '총상환액', '총상환대출비율', '월별대출금액']",0.8548027527381991,0.8313533272410069,0.8548683140815193,0.8308931704650763
48,"['연간소득', '총상환이자', '총상환대출비율']",0.8509948905412703,0.8290271662374346,0.8511401400418501,0.8285435341027166
52,"['연간소득', '총상환대출비율', '월별대출금액']",0.8493748182611224,0.8288194732906871,0.8492024318264177,0.8282807214184695
20,"['총상환원금', '총상환대출비율']",0.8483916974757335,0.8286117803439396,0.8487773142021268,0.8286854442250238
45,"['연간소득', '총상환원금', '총상환대출비율']",0.8496794472368767,0.828321010218493,0.8495839426803621,0.8279323425424959
16,"['연간소득', '총상환대출비율']",0.8470485606280895,0.8279056243249979,0.8469511239432679,0.8274716232433078
77,"['대출기간', '총상환원금', '총상환액', '월별대출금액']",0.857558260291613,0.8256210019107751,0.8568813952069736,0.8237564428216613
25,"['총상환액', '총상환대출비율']",0.8441130450435481,0.8252886931959791,0.8442822223812444,0.8251093972813578
50,"['연간소득', '총상환액', '총상환대출비율']",0.8429360694554064,0.8213009886184265,0.8428722079695443,0.820631902739037
34,"['대출기간', '총상환원금', '총상환액']",0.847934754012102,0.8190994433829027,0.847288197969997,0.817181670716445
80,"['대출기간', '총상환이자', '총상환액', '월별대출금액']",0.8473670363754691,0.8160255877710393,0.8467832103241213,0.8142731842201445
37,"['대출기간', '총상환이자', '총상환액']",0.8423129647322727,0.8149455844479522,0.8415796681636313,0.8129062217870413
102,"['대출기간', '연간소득', '총상환원금', '총상환액', '월별대출금액']",0.8490009554272422,0.8146548143225056,0.8482881226470568,0.8125911116178726
64,"['대출기간', '연간소득', '총상환원금', '총상환액']",0.8417037067807641,0.810334801030157,0.8409598697080916,0.8080180940819451
67,"['대출기간', '연간소득', '총상환이자', '총상환액']",0.8368434899403204,0.8059317105591094,0.8360606318039788,0.8037282688748363
105,"['대출기간', '연간소득', '총상환이자', '총상환액', '월별대출금액']",0.8389066589124745,0.8044778599318767,0.8380947386608248,0.8021966996309957
94,"['총상환원금', '총상환이자', '총상환액', '월별대출금액']",0.8234536617787562,0.7960039877045776,0.8229611017575432,0.7942644208030768
114,"['연간소득', '총상환원금', '총상환이자', '총상환액', '월별대출금액']",0.8249491131142774,0.7939685968264518,0.8248339898901028,0.7925075647015186
55,"['총상환원금', '총상환이자', '월별대출금액']",0.8183442030490591,0.7926809005566171,0.8179429891059126,0.7910413469665184
85,"['연간소득', '총상환원금', '총상환이자', '월별대출금액']",0.8194934850939504,0.7888178117471131,0.8192998496726842,0.7872466386615181
83,"['연간소득', '총상환원금', '총상환이자', '총상환액']",0.8118362203852172,0.7829608706488328,0.8116315883674485,0.7814115358841548
53,"['총상환원금', '총상환이자', '총상환액']",0.810548470624074,0.7817977901470466,0.8107692493457954,0.7806554291392401
18,"['총상환원금', '총상환이자']",0.805729794098506,0.7808008640026585,0.8064409305095681,0.7804581242851533
43,"['연간소득', '총상환원금', '총상환이자']",0.8090253257453025,0.7775193154440475,0.8088594546542575,0.776153466407262
57,"['총상환원금', '총상환액', '월별대출금액']",0.7951370138052313,0.7636869651906621,0.7947449812152328,0.7617041677698891
87,"['연간소득', '총상환원금', '총상환액', '월별대출금액']",0.7965493845110012,0.755545401678159,0.7961507834242758,0.7532220154987864
