,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
1624,"['대출기간', '총상환이자', '총상환원금', '총상환액', '월별대출금액', '부채_대비_소득_비율', '최근_2년간_연체_횟수']",0.8541381077001897,0.8353410318185595,0.853525412270681,0.8339412040136491
246,"['대출기간', '총상환대출비율', '총상환액', '대출목적']",0.8433791661474127,0.8352994932292099,0.8429098736319174,0.834579217802773
1539,"['대출기간', '총상환대출비율', '총상환이자', '총상환액', '부채_대비_소득_비율', '최근_2년간_연체_횟수', '대출금액']",0.8510087373128955,0.8352164160505109,0.8510455120529644,0.83487804785047
1068,"['대출기간', '총상환대출비율', '총상환이자', '대출목적', '최근_2년간_연체_횟수', '대출금액']",0.8475331976349714,0.8351748774611614,0.8476025987966714,0.8350453843764889
68,"['대출기간', '총상환대출비율', '총상환액']",0.8433376258325371,0.835133338871812,0.8430571080173042,0.8346679333161351
604,"['대출기간', '총상환대출비율', '총상환원금', '연간소득', '부채_대비_소득_비율']",0.8468823993685872,0.835133338871812,0.846753991333113,0.8347977081087691
250,"['대출기간', '총상환대출비율', '총상환액', '최근_2년간_연체_횟수']",0.842617593708027,0.835133338871812,0.8423739714874192,0.8347202975742093
256,"['대출기간', '총상환대출비율', '대출목적', '대출금액']",0.8431022307149089,0.8350918002824624,0.8425864798527725,0.834356377406859
640,"['대출기간', '총상환대출비율', '월별대출금액', '최근_2년간_연체_횟수', '대출금액']",0.8426729807945278,0.8350502616931129,0.8423861309900955,0.8342997791963335
263,"['대출기간', '총상환대출비율', '연간소득', '대출금액']",0.844320746617926,0.8350502616931129,0.8440222692977919,0.834342259131694
1153,"['대출기간', '총상환이자', '총상환원금', '총상환액', '대출목적', '대출금액']",0.852961132112048,0.8349671845144139,0.8523384905880808,0.8334166468326256
1116,"['대출기간', '총상환대출비율', '총상환액', '대출목적', '월별대출금액', '최근_2년간_연체_횟수']",0.8432130048879104,0.8349256459250644,0.8427038296244272,0.8341890951171068
1078,"['대출기간', '총상환대출비율', '총상환이자', '부채_대비_소득_비율', '최근_2년간_연체_횟수', '대출금액']",0.8473531896038439,0.8348841073357148,0.8474053507480149,0.8346787399693081
1532,"['대출기간', '총상환대출비율', '총상환이자', '총상환액', '월별대출금액', '연간소득', '대출금액']",0.8504964067627633,0.8348841073357148,0.8504593225986077,0.834404688026259
587,"['대출기간', '총상환대출비율', '총상환이자', '부채_대비_소득_비율', '대출금액']",0.847214721887592,0.8348425687463654,0.8472698950341434,0.8346251471353792
1046,"['대출기간', '총상환대출비율', '총상환이자', '총상환액', '대출목적', '부채_대비_소득_비율']",0.850690261565516,0.8347594915676664,0.8507942390350611,0.834453382510019
1062,"['대출기간', '총상환대출비율', '총상환이자', '대출목적', '월별대출금액', '대출금액']",0.8460100527561999,0.8347179529783169,0.8460474818777589,0.8345330230195227
2004,"['대출기간', '총상환대출비율', '총상환이자', '총상환액', '대출목적', '월별대출금액', '부채_대비_소득_비율', '최근_2년간_연체_횟수', '대출금액']",0.8511610518007726,0.8347179529783169,0.8511625592434716,0.8343300821903817
1110,"['대출기간', '총상환대출비율', '총상환원금', '연간소득', '부채_대비_소득_비율', '최근_2년간_연체_횟수']",0.8466331574793337,0.8347179529783169,0.8465067846368154,0.8343896890228973
75,"['대출기간', '총상환이자', '총상환원금']",0.848710173223113,0.8346764143889673,0.8479946485088405,0.833109101575787
1045,"['대출기간', '총상환대출비율', '총상환이자', '총상환액', '대출목적', '연간소득']",0.8504687132195129,0.8346348757996178,0.8504531072003594,0.8341941158262071
266,"['대출기간', '총상환대출비율', '최근_2년간_연체_횟수', '대출금액']",0.8425206663066506,0.8346348757996178,0.8423143821345752,0.83394294787387
1753,"['총상환대출비율', '총상환원금', '총상환액', '대출목적', '월별대출금액', '연간소득', '대출금액']",0.8505794873925144,0.8346348757996178,0.8505437977094051,0.8340724701063235
800,"['총상환대출비율', '총상환이자', '총상환액', '월별대출금액', '대출금액']",0.8506487212506404,0.8345933372102683,0.8506512741459487,0.8342624606746549
664,"['대출기간', '총상환이자', '총상환원금', '부채_대비_소득_비율', '대출금액']",0.8522272532159128,0.8345933372102683,0.851534165314258,0.8328992427523257
252,"['대출기간', '총상환대출비율', '대출목적', '월별대출금액']",0.8420360292997687,0.8345517986209189,0.8414776006103877,0.8337072184307966
841,"['총상환대출비율', '총상환원금', '총상환액', '최근_2년간_연체_횟수', '대출금액']",0.8499009955828799,0.8345517986209189,0.8501352737792819,0.8344343380370524
243,"['대출기간', '총상환대출비율', '총상환원금', '부채_대비_소득_비율']",0.8458161979534472,0.8345517986209189,0.8457520340730379,0.8343692805724301
1139,"['대출기간', '총상환대출비율', '대출목적', '월별대출금액', '최근_2년간_연체_횟수', '대출금액']",0.8420775696146443,0.8345517986209189,0.8415273751962883,0.8336750372310535
380,"['총상환대출비율', '총상환원금', '총상환액', '월별대출금액']",0.8484332377906091,0.8345517986209189,0.848555928704876,0.8342417978864896
617,"['대출기간', '총상환대출비율', '총상환액', '월별대출금액', '최근_2년간_연체_횟수']",0.8435176338636647,0.8345102600315694,0.8431498390055616,0.833631556246573
384,"['총상환대출비율', '총상환원금', '총상환액', '대출금액']",0.8507871889668923,0.8344271828528703,0.8510255924007097,0.8342954645966457
607,"['대출기간', '총상환대출비율', '총상환원금', '부채_대비_소득_비율', '최근_2년간_연체_횟수']",0.8457469640953211,0.8344271828528703,0.8456603264232903,0.8341945807229372
255,"['대출기간', '총상환대출비율', '대출목적', '최근_2년간_연체_횟수']",0.8427699081959041,0.8343856442635208,0.8423386068988041,0.8337425156089093
