,learning_rate,train_accuracy,test_accuracy,train_f1,test_f1
0,0.1,0.9724172309226103,0.9185843648749689,0.9724702976411395,0.9184013867133073
1,0.05,0.9720018277738546,0.9175459001412312,0.9720545134953698,0.9173618724149275
2,0.02,0.9710879408465917,0.9148043532441639,0.971140161575851,0.9146133929600847
3,0.01,0.9704232958085822,0.9117720362216499,0.970472929463372,0.9115842362872244
