,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
14,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간']",0.9442252038937122,0.8969427598238764,0.9445034097872522,0.8967038156466167
10,"['총상환대출비율', '총상환원금', '총상환이자']",0.9372187374513632,0.8881781174711307,0.9378873262889292,0.8882177107242988
6,"['총상환대출비율', '대출기간']",0.9168639831623258,0.8816150203539088,0.9171082007178674,0.8815692136410551
11,"['총상환대출비율', '총상환원금', '대출기간']",0.9243966269264321,0.8746780759325413,0.9246345072354916,0.874458485960798
13,"['총상환원금', '총상환이자', '대출기간']",0.9200625874077459,0.8689042120129601,0.9201730811137842,0.8681852763559408
12,"['총상환대출비율', '총상환이자', '대출기간']",0.915257757653803,0.868488826119465,0.9155054288128953,0.8683239672886764
0,['총상환대출비율'],0.9017294617759869,0.8674918999750768,0.9022437899917494,0.867656095915492
4,"['총상환대출비율', '총상환원금']",0.9102036860106066,0.8590595663371272,0.9108535211118111,0.859288388384095
5,"['총상환대출비율', '총상환이자']",0.9043188080698985,0.8576057157098945,0.9048815657782374,0.8577840440297115
7,"['총상환원금', '총상환이자']",0.887508827316911,0.8291517820054831,0.8879797214746953,0.8282869611944919
8,"['총상환원금', '대출기간']",0.7278278569351556,0.6605466478358395,0.7216986590266303,0.6468547593285378
1,['총상환원금'],0.701518990847284,0.6365788817811747,0.6917485455264011,0.6196401265473995
2,['총상환이자'],0.5949680831914039,0.5124615768048517,0.5795579938369597,0.4869240280239081
9,"['총상환이자', '대출기간']",0.5988590260180838,0.5108415718202209,0.5864708398689785,0.4888984907202528
3,['대출기간'],0.34964483030781374,0.3456010633878874,0.25073574220234995,0.247669972631577
