,min_child_weight,train_accuracy,test_accuracy,train_f1,test_f1
0,2,0.9725141583239868,0.9202043698595995,0.9725675003748667,0.9200344644944456
1,3,0.9725141583239868,0.9190828279471629,0.9725685178475859,0.9188905552311843
2,4,0.9724864647807364,0.9206197557530946,0.9725415906244887,0.9204534934633078
